Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,return,log return
7-Aug-12,45.1,45.5,45,45.1,45.19109948,71052,627,3210918,32156,45.26,0.5,0,0.002222222,0.000964028
8-Aug-12,45.25,45.7,45.05,45.2,45.32187823,149162,830,6760302,76038,50.98,0.65,-0.05,0.002217295,0.000961893
9-Aug-12,45.2,45.4,44.6,44.75,44.87113615,108797,768,4881845,54231,49.85,0.8,-0.45,-0.009955752,-0.004345395
10-Aug-12,44.65,45,44.5,44.7,44.70676913,85107,585,3804859,46312,54.42,0.5,0.05,-0.001117318,-0.000485517
13-Aug-12,44.7,44.75,44.2,44.3,44.39467119,88988,586,3950593,47293,53.15,0.55,-0.4,-0.008948546,-0.003903797
14-Aug-12,44.35,44.9,44.1,44.6,44.60072512,78883,609,3518239,38688,49.04,0.8,0.25,0.006772009,0.002931132
16-Aug-12,44.55,44.95,44.25,44.5,44.54111303,119062,897,5303154,59119,49.65,0.7,-0.05,-0.002242152,-0.000974848
17-Aug-12,44.7,45.45,44.3,44.4,44.72573769,161856,1073,7239129,63981,39.53,1.15,-0.3,-0.002247191,-0.000977041
21-Aug-12,44.4,44.9,44.25,44.4,44.56423913,78667,608,3505735,37808,48.06,0.65,0,0,0
22-Aug-12,44.4,44.8,44.3,44.4,44.52582541,79960,602,3560285,39041,48.83,0.5,0,0,0
23-Aug-12,44.55,44.65,44.3,44.5,44.48992517,86056,621,3828625,45800,53.22,0.35,-0.05,0.002252252,0.000977041
24-Aug-12,44.4,44.5,44.15,44.2,44.3025437,89987,626,3986653,41716,46.36,0.35,-0.2,-0.006741573,-0.002937742
27-Aug-12,44.3,44.35,43.45,43.55,43.76667347,112739,852,4934211,61081,54.18,0.9,-0.75,-0.014705882,-0.00643411
28-Aug-12,43.55,43.55,42.2,42.4,42.61623055,219056,1478,9335341,111018,50.68,1.35,-1.15,-0.026406429,-0.011622303
29-Aug-12,42.5,42.8,42.2,42.45,42.5222408,96287,789,4094339,54644,56.75,0.6,-0.05,0.001179245,0.000511838
30-Aug-12,42.25,42.7,42.15,42.45,42.32092168,104418,768,4419066,53506,51.24,0.55,0.2,0,0
31-Aug-12,42.7,42.75,42.2,42.4,42.39851706,96430,623,4088489,45057,46.73,0.55,-0.3,-0.001177856,-0.000511838
3-Sep-12,43,43.5,42.25,42.9,42.638416,105909,799,4515792,43766,41.32,1.25,-0.1,0.011792453,0.005091436
4-Sep-12,43,43.5,42.65,43.25,42.98089389,105830,581,4548668,64775,61.21,0.85,0.25,0.008158508,0.00352882
5-Sep-12,43.05,44.4,43,44,43.8634846,227630,1548,9984645,99963,43.91,1.4,0.95,0.01734104,0.007466565
6-Sep-12,43.9,44.5,43.4,44.1,43.89816906,114258,779,5015717,50742,44.41,1.1,0.2,0.002272727,0.000985913
7-Sep-12,44.6,45.1,44.2,44.9,44.79119591,215877,1283,9669389,108080,50.07,0.9,0.3,0.01814059,0.007807752
8-Sep-12,44.8,44.8,44.5,44.65,44.68823691,14588,99,651912,10028,68.74,0.3,-0.15,-0.005567929,-0.002424878
10-Sep-12,44.75,45.55,44.3,45.4,45.01377176,137673,915,6197181,78816,57.25,1.25,0.65,0.016797312,0.00723439
11-Sep-12,45.05,45.85,45,45.3,45.33647922,106806,586,4842208,57211,53.57,0.85,0.25,-0.002202643,-0.000957651
12-Sep-12,45.4,46.2,45.1,45.8,45.66242258,214730,1336,9805092,95884,44.65,1.1,0.4,0.011037528,0.004767276
13-Sep-12,45.95,46.5,45.8,46.1,46.15506279,220343,2343,10169945,112743,51.17,0.7,0.15,0.006550218,0.002835447
14-Sep-12,46.5,46.75,46,46.3,46.41123292,233065,1330,10816834,144168,61.86,0.75,-0.2,0.004338395,0.001880066
17-Sep-12,46.9,46.9,45.5,46.7,46.34170025,264773,1544,12270031,133332,50.36,1.4,-0.2,0.008639309,0.00373589
18-Sep-12,46.9,47.65,46.15,47.35,46.98622811,368940,1990,17335099,143714,38.95,1.5,0.45,0.01391863,0.006003103
20-Sep-12,47,47.1,46.15,47,46.81355062,192862,1055,9028555,100765,52.25,0.95,0,-0.007391763,-0.003222125
21-Sep-12,47.3,47.75,46.3,46.85,47.2203526,275100,1656,12990319,120320,43.74,1.45,-0.45,-0.003191489,-0.001388263
